ticker,name,market,region,currency,sector
CPRT,Copart,S&P 500,US,USD,Industrials
CPT,Camden Property Trust,S&P 500,US,USD,Real Estate
CRH,CRH plc,S&P 500,US,USD,Materials
CRL,Charles River Laboratories,S&P 500,US,USD,Health Care
CRM,Salesforce,S&P 500,US,USD,Information Technology
CRWD,CrowdStrike,S&P 500,US,USD,Information Technology
CSCO,Cisco,S&P 500,US,USD,Information Technology
CSGP,CoStar Group,S&P 500,US,USD,Real Estate
CSX,CSX Corporation,S&P 500,US,USD,Industrials
CTAS,Cintas,S&P 500,US,USD,Industrials
CTRA,Coterra,S&P 500,US,USD,Energy
CTSH,Cognizant,S&P 500,US,USD,Information Technology
CTVA,Corteva,S&P 500,US,USD,Materials
CVNA,Carvana,S&P 500,US,USD,Consumer Discretionary
CVS,CVS Health,S&P 500,US,USD,Health Care
CVX,Chevron Corporation,S&P 500,US,USD,Energy
D,Dominion Energy,S&P 500,US,USD,Utilities
DAL,Delta Air Lines,S&P 500,US,USD,Industrials
DASH,DoorDash,S&P 500,US,USD,Consumer Discretionary
DD,DuPont,S&P 500,US,USD,Materials
DDOG,Datadog,S&P 500,US,USD,Information Technology
DE,Deere & Company,S&P 500,US,USD,Industrials
DECK,Deckers Brands,S&P 500,US,USD,Consumer Discretionary
DELL,Dell Technologies,S&P 500,US,USD,Information Technology
DG,Dollar General,S&P 500,US,USD,Consumer Staples
DGX,Quest Diagnostics,S&P 500,US,USD,Health Care
DHI,D. R. Horton,S&P 500,US,USD,Consumer Discretionary
DHR,Danaher Corporation,S&P 500,US,USD,Health Care
DIS,Walt Disney Company (The),S&P 500,US,USD,Communication Services
DLR,Digital Realty,S&P 500,US,USD,Real Estate
DLTR,Dollar Tree,S&P 500,US,USD,Consumer Staples
DOC,Healthpeak Properties,S&P 500,US,USD,Real Estate
DOV,Dover Corporation,S&P 500,US,USD,Industrials
DOW,Dow Inc.,S&P 500,US,USD,Materials
DPZ,Domino's,S&P 500,US,USD,Consumer Discretionary
DRI,Darden Restaurants,S&P 500,US,USD,Consumer Discretionary
DTE,DTE Energy,S&P 500,US,USD,Utilities
DUK,Duke Energy,S&P 500,US,USD,Utilities
DVA,DaVita,S&P 500,US,USD,Health Care
DVN,Devon Energy,S&P 500,US,USD,Energy
DXCM,Dexcom,S&P 500,US,USD,Health Care
EA,Electronic Arts,S&P 500,US,USD,Communication Services
EBAY,eBay Inc.,S&P 500,US,USD,Consumer Discretionary
ECL,Ecolab,S&P 500,US,USD,Materials
ED,Consolidated Edison,S&P 500,US,USD,Utilities
EFX,Equifax,S&P 500,US,USD,Industrials
EG,Everest Group,S&P 500,US,USD,Financials
EIX,Edison International,S&P 500,US,USD,Utilities
EL,Estée Lauder Companies (The),S&P 500,US,USD,Consumer Staples
ELV,Elevance Health,S&P 500,US,USD,Health Care
EME,Emcor,S&P 500,US,USD,Industrials
EMR,Emerson Electric,S&P 500,US,USD,Industrials
EOG,EOG Resources,S&P 500,US,USD,Energy
EPAM,EPAM Systems,S&P 500,US,USD,Information Technology
EQIX,Equinix,S&P 500,US,USD,Real Estate
EQR,Equity Residential,S&P 500,US,USD,Real Estate
EQT,EQT Corporation,S&P 500,US,USD,Energy
ERIE,Erie Indemnity,S&P 500,US,USD,Financials
ES,Eversource Energy,S&P 500,US,USD,Utilities
ESS,Essex Property Trust,S&P 500,US,USD,Real Estate
ETN,Eaton Corporation,S&P 500,US,USD,Industrials
ETR,Entergy,S&P 500,US,USD,Utilities
EVRG,Evergy,S&P 500,US,USD,Utilities
EW,Edwards Lifesciences,S&P 500,US,USD,Health Care
EXC,Exelon,S&P 500,US,USD,Utilities
EXE,Expand Energy,S&P 500,US,USD,Energy
EXPD,Expeditors International,S&P 500,US,USD,Industrials
EXPE,Expedia Group,S&P 500,US,USD,Consumer Discretionary
EXR,Extra Space Storage,S&P 500,US,USD,Real Estate
F,Ford Motor Company,S&P 500,US,USD,Consumer Discretionary
FANG,Diamondback Energy,S&P 500,US,USD,Energy
FAST,Fastenal,S&P 500,US,USD,Industrials
FCX,Freeport-McMoRan,S&P 500,US,USD,Materials
FDS,FactSet,S&P 500,US,USD,Financials
FDX,FedEx,S&P 500,US,USD,Industrials
FE,FirstEnergy,S&P 500,US,USD,Utilities
FFIV,"F5, Inc.",S&P 500,US,USD,Information Technology
FICO,Fair Isaac,S&P 500,US,USD,Information Technology
FIS,Fidelity National Information Services,S&P 500,US,USD,Financials
FISV,Fiserv,S&P 500,US,USD,Financials
FITB,Fifth Third Bancorp,S&P 500,US,USD,Financials
FIX,Comfort Systems USA,S&P 500,US,USD,Industrials
FOX,Fox Corporation (Class B),S&P 500,US,USD,Communication Services
FOXA,Fox Corporation (Class A),S&P 500,US,USD,Communication Services
FRT,Federal Realty Investment Trust,S&P 500,US,USD,Real Estate
FSLR,First Solar,S&P 500,US,USD,Information Technology
FTNT,Fortinet,S&P 500,US,USD,Information Technology
FTV,Fortive,S&P 500,US,USD,Industrials
GD,General Dynamics,S&P 500,US,USD,Industrials
GDDY,GoDaddy,S&P 500,US,USD,Information Technology
