ticker,name,market,region,currency,sector
3IN.L,3i Infrastructure,FTSE 350,UK,GBP,
AAF.L,Airtel Africa,FTSE 350,UK,GBP,
AAL.L,Anglo American plc,FTSE 350,UK,GBP,
AAS.L,Aberdeen Asia Focus,FTSE 350,UK,GBP,
ABDN.L,Aberdeen Group,FTSE 350,UK,GBP,
ABF.L,Associated British Foods,FTSE 350,UK,GBP,
ADM.L,Admiral Group,FTSE 350,UK,GBP,
AEP.L,AEP Plantations,FTSE 350,UK,GBP,
AGT.L,AVI Global Trust,FTSE 350,UK,GBP,
AIE.L,Ashoka India Equity Investment Trust,FTSE 350,UK,GBP,
AJB.L,AJ Bell,FTSE 350,UK,GBP,
ALFA.L,Alfa Financial Software,FTSE 350,UK,GBP,
ALW.L,Alliance Witan,FTSE 350,UK,GBP,
AML.L,Aston Martin Lagonda,FTSE 350,UK,GBP,
ANTO.L,Antofagasta plc,FTSE 350,UK,GBP,
AO.L,AO World,FTSE 350,UK,GBP,
APN.L,Applied Nutrition,FTSE 350,UK,GBP,
ASHM.L,Ashmore Group,FTSE 350,UK,GBP,
ASL.L,Aberforth Smaller Companies Trust,FTSE 350,UK,GBP,
ATR.L,Schroder Asian Total Return Investment Company,FTSE 350,UK,GBP,
ATT.L,Allianz Technology Trust,FTSE 350,UK,GBP,
ATYM.L,Atalaya Mining,FTSE 350,UK,GBP,
AUTO.L,Autotrader Group,FTSE 350,UK,GBP,
AV.L,Aviva,FTSE 350,UK,GBP,
AVON.L,Avon Technologies,FTSE 350,UK,GBP,
AZN.L,AstraZeneca,FTSE 350,UK,GBP,
BA.L,BAE Systems,FTSE 350,UK,GBP,
BAB.L,Babcock International,FTSE 350,UK,GBP,
BAG.L,A.G. Barr,FTSE 350,UK,GBP,
BARC.L,Barclays,FTSE 350,UK,GBP,
BATS.L,British American Tobacco,FTSE 350,UK,GBP,
BBOX.L,Tritax Big Box REIT,FTSE 350,UK,GBP,
BBY.L,Balfour Beatty,FTSE 350,UK,GBP,
BCG.L,Baltic Classifieds,FTSE 350,UK,GBP,
BEZ.L,Beazley,FTSE 350,UK,GBP,
BGEO.L,Lion Finance Group,FTSE 350,UK,GBP,
BGFD.L,Baillie Gifford Japan Trust,FTSE 350,UK,GBP,
BHMG.L,BH Macro,FTSE 350,UK,GBP,
BKG.L,Berkeley Group Holdings,FTSE 350,UK,GBP,
BLND.L,British Land,FTSE 350,UK,GBP,
BME.L,B&M,FTSE 350,UK,GBP,
BNKR.L,Bankers Investment Trust,FTSE 350,UK,GBP,
BNZL.L,Bunzl,FTSE 350,UK,GBP,
BOWL.L,Hollywood Bowl Group,FTSE 350,UK,GBP,
BOY.L,Bodycote,FTSE 350,UK,GBP,
BP.L,BP,FTSE 350,UK,GBP,
BPCR.L,Biopharma Credit,FTSE 350,UK,GBP,
BPT.L,Bridgepoint Group,FTSE 350,UK,GBP,
BRBY.L,Burberry Group,FTSE 350,UK,GBP,
BREE.L,Breedon Group,FTSE 350,UK,GBP,
BRGE.L,BlackRock Greater Europe Investment Trust,FTSE 350,UK,GBP,
BRSC.L,BlackRock Smaller Companies Trust,FTSE 350,UK,GBP,
BRWM.L,BlackRock World Mining Trust,FTSE 350,UK,GBP,
BSIF.L,Bluefield Solar Income Fund,FTSE 350,UK,GBP,
BT-A.L,BT Group,FTSE 350,UK,GBP,
BTRW.L,Barratt Redrow,FTSE 350,UK,GBP,
BUT.L,Brunner Investment Trust,FTSE 350,UK,GBP,
BWY.L,Bellway,FTSE 350,UK,GBP,
BYG.L,Big Yellow Group,FTSE 350,UK,GBP,
BYIT.L,Bytes Technology Group,FTSE 350,UK,GBP,
CBG.L,Close Brothers Group,FTSE 350,UK,GBP,
CCC.L,Computacenter,FTSE 350,UK,GBP,
CCEP.L,Coca-Cola Europacific Partners,FTSE 350,UK,GBP,
CCH.L,Coca-Cola HBC,FTSE 350,UK,GBP,
CCR.L,C&C Group,FTSE 350,UK,GBP,
CGT.L,Capital Gearing Trust,FTSE 350,UK,GBP,
CHG.L,Chemring Group,FTSE 350,UK,GBP,
CHRY.L,Chrysalis Investments,FTSE 350,UK,GBP,
CKN.L,Clarkson,FTSE 350,UK,GBP,
CLDN.L,Caledonia Investments,FTSE 350,UK,GBP,
CMCX.L,CMC Markets,FTSE 350,UK,GBP,
CNA.L,Centrica,FTSE 350,UK,GBP,
COA.L,Coats Group,FTSE 350,UK,GBP,
COST.L,Costain Group,FTSE 350,UK,GBP,
CPG.L,Compass Group,FTSE 350,UK,GBP,
CRDA.L,Croda International,FTSE 350,UK,GBP,
CSN.L,Chesnara,FTSE 350,UK,GBP,
CTEC.L,Convatec,FTSE 350,UK,GBP,
CTY.L,City of London Investment Trust,FTSE 350,UK,GBP,
CURY.L,Currys,FTSE 350,UK,GBP,
CVSG.L,CVS Group,FTSE 350,UK,GBP,
CWK.L,Cranswick,FTSE 350,UK,GBP,
CWR.L,Ceres Power,FTSE 350,UK,GBP,
DCC.L,DCC plc,FTSE 350,UK,GBP,
DGE.L,Diageo,FTSE 350,UK,GBP,
DLN.L,Derwent London,FTSE 350,UK,GBP,
DNLM.L,Dunelm Group,FTSE 350,UK,GBP,
DOCS.L,Dr. Martens,FTSE 350,UK,GBP,
DOM.L,Domino's Pizza,FTSE 350,UK,GBP,
DPLM.L,Diploma,FTSE 350,UK,GBP,
DRX.L,Drax Group,FTSE 350,UK,GBP,
DSCV.L,discoverIE,FTSE 350,UK,GBP,
EDIN.L,Edinburgh Investment Trust,FTSE 350,UK,GBP,
EDV.L,Endeavour Mining,FTSE 350,UK,GBP,
ELM.L,Elementis,FTSE 350,UK,GBP,
EMG.L,Man Group,FTSE 350,UK,GBP,
ENOG.L,Energean,FTSE 350,UK,GBP,
ENT.L,Entain,FTSE 350,UK,GBP,
ESCT.L,European Smaller Companies Trust,FTSE 350,UK,GBP,
EWG.L,Eurowag,FTSE 350,UK,GBP,
EWI.L,Edinburgh Worldwide Investment Trust,FTSE 350,UK,GBP,
EXPN.L,Experian,FTSE 350,UK,GBP,
EZJ.L,EasyJet,FTSE 350,UK,GBP,
FAN.L,Volution Group,FTSE 350,UK,GBP,
FCH.L,Funding Circle,FTSE 350,UK,GBP,
FCIT.L,F & C Investment Trust,FTSE 350,UK,GBP,
FCSS.L,Fidelity China Special Situations,FTSE 350,UK,GBP,
FEML.L,Fidelity Emerging Markets,FTSE 350,UK,GBP,
FEV.L,Fidelity European Trust,FTSE 350,UK,GBP,
FGEN.L,Foresight Environmental Infrastructure,FTSE 350,UK,GBP,
